Timestamp,Goal x,Goal y,Goal z,Goal roll,Goal pitch,Goal yaw,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,measurement_temperature,measurement_x,measurement_std_x,measurement_y,measurement_std_y,measurement_z,measurement_std_z,measurement_rx,measurement_std_rx,measurement_ry,measurement_std_ry,measurement_rz,measurement_std_rz,Formatted_Timestamp,error_x,error_y,error_z,position_error,error_roll,error_pitch,error_yaw,orientation_error,temp_deviation
20201100000000.0,0.2,-0.4,0.8,3.14159,1.5708,1.74533,-1.56451,-0.231918,-2.09504,-0.814583,-1.40343,-0.000873391,21.99250031,187.92969,0.0043921,-3274.5074,0.0038382,-426.15184,0.010535,-90.113978,0.002918,-30.082529,0.0015637,-90.382804,0.0018869,,-12.070310000000006,-2874.5074,-1226.15184,3125.1218887866826,-270.1138259605043,-120.0827394591497,-190.38284685756798,351.6062736479937,-0.05493311036789095
20201100000000.0,0.2,-0.4,0.8,3.14159,1.5708,1.74533,-1.56452,-2.21094,2.09497,-3.02547,-1.40353,-0.000765626,21.99250031,189.14129,0.017732,-3275.5603,0.010898,-425.8229,0.011292,-90.231471,0.0024815,-30.028566,0.0042546,-90.248759,0.0068309,,-10.858710000000002,-2875.5603,-1225.8229000000001,3125.9569307147153,-270.23131896050427,-120.02877645914971,-190.24880185756797,351.60557380913986,-0.05493311036789095
20201100000000.0,0.1,-0.4,0.8,2.96706,1.5708,1.5708,-2.14166,-0.327597,-2.13346,-0.680507,-0.826249,-0.000801388,21.99250031,282.49153,0.0050476,-3239.5791,0.0028001,-426.10878,0.0076175,-90.239788,0.0023742,-30.029164,0.00092713,-90.433248,0.0016601,,182.49153,-2839.5791,-1226.10878,3098.363336355444,-260.2398035620861,-120.02937445914972,-180.43345845914973,338.6562254301811,-0.05493311036789095
20201100000000.0,0.1,-0.4,0.8,2.96706,1.5708,1.5708,-2.14141,-2.3396,2.13343,-2.93517,-0.826489,-0.000873391,21.99250031,282.59995,0.010285,-3242.1759,0.011621,-424.89503,0.0060678,-90.09958,0.0018054,-30.000344,0.0014983,-90.235664,0.0050629,,182.59994999999998,-2842.1759,-1224.8950300000001,3100.27005643049,-260.09959556208605,-120.00055445914971,-180.23587445914973,338.43301128010324,-0.05493311036789095
20201100000000.0,0.1,-0.4,0.8,3.14159,1.39626,1.5708,-1.92483,-0.374089,-2.06381,-0.517798,-1.2232,-0.0648268,21.99250031,279.85276,0.0059395,-3240.5349,0.027226,-423.16697,0.016545,-100.77649,0.0040176,-19.646891,0.0012082,-94.016687,0.0021079,,179.85276,-2840.5349,-1223.16697,3097.9223634391824,-280.7763379605043,-99.64669610293632,-184.01689745914973,350.18143090865556,-0.05493311036789095
20201100000000.0,0.1,-0.4,0.8,3.14159,1.39626,1.5708,-1.92484,-2.32594,2.06381,-2.69361,-1.22319,-0.0648621,21.99250031,280.42409,0.0075564,-3242.8576,0.019723,-422.71409,0.0075408,-100.74885,0.0015791,-19.649967,0.00054838,-93.835637,0.0022037,,180.42408999999998,-2842.8576,-1222.71409,3099.906761826009,-280.7486979605043,-99.64977210293632,-183.8358474591497,350.0650329548916,-0.05493311036789095
20201100000000.0,0.1,-0.4,0.8,3.14159,1.74533,1.5708,-1.92483,-0.224108,-2.17239,-0.930859,-1.22318,0.0631996,21.99250031,279.75084,0.0044509,-3240.6014,0.017545,-428.73365,0.0075608,-79.490413,0.0011374,-19.763772,0.00098392,-86.73284,0.0017591,,179.75083999999998,-2840.6014,-1228.7336500000001,3100.1795207382734,-259.4902609605043,-119.76381485756798,-176.7330504591497,336.025502019095,-0.05493311036789095
20201100000000.0,0.1,-0.4,0.8,3.14159,1.74533,1.5708,-1.92482,-2.26946,2.17241,-3.23016,-1.22316,0.0632235,21.99250031,280.57982,0.0074243,-3242.4535,0.0042536,-427.7206,0.008102,-79.480164,0.0024766,-19.674247,0.0017675,-86.561226,0.0037327,,180.57981999999998,-2842.4535,-1227.7206,3101.523632461607,-259.48001196050427,-119.67428985756797,-176.56143645914972,335.8954496632174,-0.05493311036789095
20201100000000.0,0.1,-0.4,0.8,3.14159,1.5708,1.39626,-1.72182,-0.263411,-2.11001,-0.768271,-1.5951,-0.00082523,21.99250031,276.9625,0.0018097,-3241.6152,0.0066185,-425.88017,0.0031316,-90.048767,0.0026816,-10.041719,0.00069391,-90.31799,0.0032723,,176.96249999999998,-2841.6152,-1225.88017,3099.8185208938476,-270.0486149605043,-100.04192945914971,-170.31779510293632,334.5785310218245,-0.05493311036789095
20201100000000.0,0.1,-0.4,0.8,3.14159,1.5708,1.39626,-1.72177,-2.2553,2.10998,-2.99601,-1.59511,-0.000849072,21.99250031,278.05707,0.0033726,-3243.2252,0.010938,-425.42766,0.0097634,-90.124046,0.0037589,-9.9970581,0.0017161,-90.159481,0.003866,,178.05707,-2843.2252,-1225.42766,3101.178293485413,-270.1238939605043,-99.99726855914972,-170.15928610293633,334.5452950718892,-0.05493311036789095
